t,f
0,0
0.003,9e-06
0.006,3.6e-05
0.009,8.1e-05
0.012,0.000144
0.015,0.000225
0.018,0.000324
0.021,0.000441
0.024,0.000576
0.027,0.000729
0.03,0.0009
0.033,0.001089
0.036,0.001296
0.039,0.001521
0.042,0.001764
0.045,0.002025
0.048,0.002304
0.051,0.002601
0.054,0.002916
0.057,0.003249
0.06,0.0036
0.063,0.003969
0.066,0.004356
0.069,0.004761
0.072,0.005184
0.075,0.005625
0.078,0.006084
0.081,0.006561
0.084,0.007056
0.087,0.007569
0.09,0.0081
0.093,0.008649
0.096,0.009216
0.099,0.009801
0.102,0.010404
0.105,0.011025
0.108,0.011664
0.111,0.012321
0.114,0.012996
0.117,0.013689
0.12,0.0144
0.123,0.015129
0.126,0.015876
0.129,0.016641
0.132,0.017424
0.135,0.018225
0.138,0.019044
0.141,0.019881
0.144,0.020736
0.147,0.021609
0.15,0.0225
0.153,0.023409
0.156,0.024336
0.159,0.025281
0.162,0.026244
0.165,0.027225
0.168,0.028224
0.171,0.029241
0.174,0.030276
0.177,0.031329
0.18,0.0324
0.183,0.033489
0.186,0.034596
0.189,0.035721
0.192,0.036864
0.195,0.038025
0.198,0.039204
0.201,0.040401
0.204,0.041616
0.207,0.042849
0.21,0.0441
0.213,0.045369
0.216,0.046656
0.219,0.047961
0.222,0.049284
0.225,0.050625
0.228,0.051984
0.231,0.053361
0.234,0.054756
0.237,0.056169
0.24,0.0576
0.243,0.059049
0.246,0.060516
0.249,0.062001
0.252,0.063504
0.255,0.065025
0.258,0.066564
0.261,0.068121
0.264,0.069696
0.267,0.071289
0.27,0.0729
0.273,0.074529
0.276,0.076176
0.279,0.077841
0.282,0.079524
0.285,0.081225
0.288,0.082944
0.291,0.084681
0.294,0.086436
0.297,0.088209
0.3,0.09
0.303,0.091809
0.306,0.093636
0.309,0.095481
0.312,0.097344
0.315,0.099225
0.318,0.101124
0.321,0.103041
0.324,0.104976
0.327,0.106929
0.33,0.1089
0.333,0.110889
0.336,0.112896
0.339,0.114921
0.342,0.116964
0.345,0.119025
0.348,0.121104
0.351,0.123201
0.354,0.125316
0.357,0.127449
0.36,0.1296
0.363,0.131769
0.366,0.133956
0.369,0.136161
0.372,0.138384
0.375,0.140625
0.378,0.142884
0.381,0.145161
0.384,0.147456
0.387,0.149769
0.39,0.1521
0.393,0.154449
0.396,0.156816
0.399,0.159201
0.402,0.161604
0.405,0.164025
0.408,0.166464
0.411,0.168921
0.414,0.171396
0.417,0.173889
0.42,0.1764
0.423,0.178929
0.426,0.181476
0.429,0.184041
0.432,0.186624
0.435,0.189225
0.438,0.191844
0.441,0.194481
0.444,0.197136
0.447,0.199809
0.45,0.2025
0.453,0.205209
0.456,0.207936
0.459,0.210681
0.462,0.213444
0.465,0.216225
0.468,0.219024
0.471,0.221841
0.474,0.224676
0.477,0.227529
0.48,0.2304
0.483,0.233289
0.486,0.236196
0.489,0.239121
0.492,0.242064
0.495,0.245025
0.498,0.248004
0.501,0.251001
0.504,0.254016
0.507,0.257049
0.51,0.2601
0.513,0.263169
0.516,0.266256
0.519,0.269361
0.522,0.272484
0.525,0.275625
0.528,0.278784
0.531,0.281961
0.534,0.285156
0.537,0.288369
0.54,0.2916
0.543,0.294849
0.546,0.298116
0.549,0.301401
0.552,0.304704
0.555,0.308025
0.558,0.311364
0.561,0.314721
0.564,0.318096
0.567,0.321489
0.57,0.3249
0.573,0.328329
0.576,0.331776
0.579,0.335241
0.582,0.338724
0.585,0.342225
0.588,0.345744
0.591,0.349281
0.594,0.352836
0.597,0.356409
0.6,0.36
0.603,0.363609
0.606,0.367236
0.609,0.370881
0.612,0.374544
0.615,0.378225
0.618,0.381924
0.621,0.385641
0.624,0.389376
0.627,0.393129
0.63,0.3969
0.633,0.400689
0.636,0.404496
0.639,0.408321
0.642,0.412164
0.645,0.416025
0.648,0.419904
0.651,0.423801
0.654,0.427716
0.657,0.431649
0.66,0.4356
0.663,0.439569
0.666,0.443556
0.669,0.447561
0.672,0.451584
0.675,0.455625
0.678,0.459684
0.681,0.463761
0.684,0.467856
0.687,0.471969
0.69,0.4761
0.693,0.480249
0.696,0.484416
0.699,0.488601
0.702,0.492804
0.705,0.497025
0.708,0.501264
0.711,0.505521
0.714,0.509796
0.717,0.514089
0.72,0.5184
0.723,0.522729
0.726,0.527076
0.729,0.531441
0.732,0.535824
0.735,0.540225
0.738,0.544644
0.741,0.549081
0.744,0.553536
0.747,0.558009
0.75,0.5625
0.753,0.567009
0.756,0.571536
0.759,0.576081
0.762,0.580644
0.765,0.585225
0.768,0.589824
0.771,0.594441
0.774,0.599076
0.777,0.603729
0.78,0.6084
0.783,0.613089
0.786,0.617796
0.789,0.622521
0.792,0.627264
0.795,0.632025
0.798,0.636804
0.801,0.641601
0.804,0.646416
0.807,0.651249
0.81,0.6561
0.813,0.660969
0.816,0.665856
0.819,0.670761
0.822,0.675684
0.825,0.680625
0.828,0.685584
0.831,0.690561
0.834,0.695556
0.837,0.700569
0.84,0.7056
0.843,0.710649
0.846,0.715716
0.849,0.720801
0.852,0.725904
0.855,0.731025
0.858,0.736164
0.861,0.741321
0.864,0.746496
0.867,0.751689
0.87,0.7569
0.873,0.762129
0.876,0.767376
0.879,0.772641
0.882,0.777924
0.885,0.783225
0.888,0.788544
0.891,0.793881
0.894,0.799236
0.897,0.804609
0.9,0.81
0.903,0.815409
0.906,0.820836
0.909,0.826281
0.912,0.831744
0.915,0.837225
0.918,0.842724
0.921,0.848241
0.924,0.853776
0.927,0.859329
0.93,0.8649
0.933,0.870489
0.936,0.876096
0.939,0.881721
0.942,0.887364
0.945,0.893025
0.948,0.898704
0.951,0.904401
0.954,0.910116
0.957,0.915849
0.96,0.9216
0.963,0.927369
0.966,0.933156
0.969,0.938961
0.972,0.944784
0.975,0.950625
0.978,0.956484
0.981,0.962361
0.984,0.968256
0.987,0.974169
0.99,0.9801
0.993,0.986049
0.996,0.992016
0.999,0.998001
